iter	RMSE
0	15.12301068
1	14.27362997
2	13.51480074
3	12.78501605
4	12.18637341
5	11.58914331
6	11.02297368
7	10.54335869
8	10.09499381
9	9.666923054
10	9.316226134
11	8.92862946
12	8.577577848
13	8.239010108
14	7.948352159
15	7.679801151
16	7.478678546
17	7.232225585
18	7.060072843
19	6.870292731
20	6.709009341
21	6.544018263
22	6.43074206
23	6.31191246
24	6.217427808
25	6.118672053
26	6.01660593
27	5.909196055
28	5.803636565
29	5.729075037
30	5.662797758
31	5.573825946
32	5.500309826
33	5.429111306
34	5.376909446
35	5.318102403
36	5.264201197
37	5.211226836
38	5.167132202
39	5.110603701
40	5.046761799
41	5.012106151
42	4.962763018
43	4.914482405
44	4.882203858
45	4.840414849
46	4.801155371
47	4.765875462
48	4.733518279
49	4.703846426
50	4.661111328
51	4.634762901
52	4.589931638
53	4.560835939
54	4.538835581
55	4.50857291
56	4.473044979
57	4.439030039
58	4.414393268
59	4.387747915
60	4.361749915
61	4.34179544
62	4.321781598
63	4.295310235
64	4.272526131
65	4.248483247
66	4.228791176
67	4.196722692
68	4.168128608
69	4.145204891
70	4.109672135
71	4.095672859
72	4.081702703
73	4.064221317
74	4.051283137
75	4.028616879
76	4.017720633
77	3.987700054
78	3.963827148
79	3.951271414
80	3.937161927
81	3.915015281
82	3.890069033
83	3.872641073
84	3.861874321
85	3.847637806
86	3.834566999
87	3.825845811
88	3.810583132
89	3.800615428
90	3.788549563
91	3.778985937
92	3.763798216
93	3.751441097
94	3.737014521
95	3.724867219
96	3.709059359
97	3.67730238
98	3.653328042
99	3.632833542
